###########################################################
# Symbols for group column                                #
# -   : not used (non-SS/3L)                              #
# *** : not used (SS/3L, but missing reco)                #
# ??? : not used (SS/3L, but using different sample set)  #
#                                                         #
# Symbols for SUSYTools K-factor column                   #
# -   : not available                                     #
# +++ : agrees with value in K-factor column              #
###########################################################

# DSID  short name              group           N_events    lumi (fb^-1)    AMIXsec (pb)    BR      FiltEff     K-factor    Higher-order xsec (pb)  SUSYTools K-factor

### dibosons
363069  lllvOFPlus_renorm025    WZ_renorm025    1200000     215.52          5.5679          1.0     1.0         1.0         5.5679                  -
363070  lllvOFPlus_qsf4         WZ_qsf4         1200000     241.09          4.9774          1.0     1.0         1.0         4.9774                  -
363071  lllvOFPlus_qsf025       WZ_qsf025       1200000     233.99          5.1285          1.0     1.0         1.0         5.1285                  -

361068  llvv_reco               ZZ_reco         -           3.209           -               -       -           -           -                       -
361068  llvv_nom                ZZ_nom          5942000     424.43          14.022          1.0     1.0         1.0         -                       0.91
363072  llvv_fac4               ZZ_fac4         6000000     429.43          13.972          1.0     1.0         1.0         13.972                  -
363073  llvv_fac025             ZZ_fac025       5999000     426.85          14.054          1.0     1.0         1.0         14.054                  -
363074  llvv_renorm4            ZZ_renorm4      6000000     445.73          13.461          1.0     1.0         1.0         13.461                  -
363075  llvv_renorm025          ZZ_renorm025    6000000     416.93          14.391          1.0     1.0         1.0         14.391                  -
363076  llvv_qsf4               ZZ_qsf4         6000000     431.28          13.912          1.0     1.0         1.0         13.912                  -
363077  llvv_qsf025             ZZ_qsf025       6000000     417.33          14.377          1.0     1.0         1.0         14.377                  -

361073  ggllll_reco             ZZ_reco         -           3.209           -               -       -           -           -                       -
361073  ggllll_nom              ZZ_nom          502000      23983.565       0.02095         1.0     1.0         1.0         -                       0.91
363078  ggllll_fac4             ZZ_fac4         250000      11447.93        0.021838        1.0     1.0         1.0         0.021838                -
363079  ggllll_fac025           ZZ_fac025       250000      12910.56        0.019364        1.0     1.0         1.0         0.019364                -
363080  ggllll_renorm4          ZZ_renorm4      250000      15706.48        0.015917        1.0     1.0         1.0         0.015917                -
363081  ggllll_renorm025        ZZ_renorm025    250000      8875.95         0.028166        1.0     1.0         1.0         0.028166                -
363082  ggllll_qsf4             ZZ_qsf4         250000      14664.48        0.017048        1.0     1.0         1.0         0.017048                -
363083  ggllll_qsf025           ZZ_qsf025       250000      9378.05         0.026658        1.0     1.0         1.0         0.026658                -

361077  ggllvv_reco             ???             -           3.209           -               -       -           -           -                       -
361077  ggllvv_nom              ???             400000      468.49          0.85492         1.0     1.0         1.0         -                       0.91
363084  ggllvv_fac4             ???             200000      228.55          0.87507         1.0     1.0         1.0         0.87507                 -
363085  ggllvv_fac025           ???             200000      243.85          0.82018         1.0     1.0         1.0         0.82018                 -
363086  ggllvv_renorm4          ???             200000      305.5           0.65466         1.0     1.0         1.0         0.65466                 -
363087  ggllvv_renorm025        ???             200000      171.82          1.164           1.0     1.0         1.0         1.164                   -
363088  ggllvv_qsf4             ???             200000      290.01          0.68964         1.0     1.0         1.0         0.68964                 -
363089  ggllvv_qsf025           ???             200000      177.49          1.1268          1.0     1.0         1.0         1.1268                  -


363090  lvvv_fac4               -               500000      145.29          3.4414          1.0     1.0         1.0         3.4414                  -
363091  lvvv_fac025             -               500000      149.49          3.3446          1.0     1.0         1.0         3.3446                  -
363092  lvvv_renorm4            -               500000      166.48          3.0034          1.0     1.0         1.0         3.0034                  -
363093  lvvv_renorm025          -               500000      125.68          3.9782          1.0     1.0         1.0         3.9782                  -
363094  lvvv_qsf4               -               500000      148.21          3.3737          1.0     1.0         1.0         3.3737                  -
363095  lvvv_qsf025             -               500000      143.23          3.4909          1.0     1.0         1.0         3.4909                  -

363096  vvvv_fac4               -               500000      748.62          0.6679          1.0     1.0         1.0         0.6679                  -
363097  vvvv_fac025             -               500000      769.67          0.64963         1.0     1.0         1.0         0.64963                 -
363098  vvvv_renorm4            -               500000      837.65          0.59691         1.0     1.0         1.0         0.59691                 -
363099  vvvv_renorm025          -               500000      663.62          0.75344         1.0     1.0         1.0         0.75344                 -
363100  vvvv_qsf4               -               500000      761.38          0.6567          1.0     1.0         1.0         0.6567                  -
363101  vvvv_qsf025             -               500000      743.85          0.67218         1.0     1.0         1.0         0.67218                 -

#363291  lllvSFMinus_ckkw15      ***             450000      240.53          1.8709          1.0     1.0         1.0         1.8709                  -
#363292  lllvSFMinux_ckkw30      ***             450000      249.11          1.8064          1.0     1.0         1.0         1.8064                  -
#
#363293  lllvOFMinus_ckkw15      ***             900000      244.63          3.679           1.0     1.0         1.0         3.679                   -
#363294  lllvOFMinus_ckkw30      ***             900000      252.8           3.5601          1.0     1.0         1.0         3.5601                  -
#
#363295  lllvSFPlus_ckkw15       ***             900000      346.86          2.5947          1.0     1.0         1.0         2.5947                  -
#363296  lllvSFPlus_ckkw30       ***             900000      359.5           2.5035          1.0     1.0         1.0         2.5035                  -
#
#363297  lllvOFPlus_ckkw15       ***             1200000     235.44          5.0968          1.0     1.0         1.0         5.0968                  -
#363298  lllvOFPlus_ckkw30       ***             1200000     220.3           5.447           1.0     1.0         1.0         5.447                   -
#
#363299  llvv_ckkw15             ***             6000000     423.22          14.177          1.0     1.0         1.0         14.177                  -
#363300  llvv_ckkw30             ***             6000000     435.98          13.762          1.0     1.0         1.0         13.762                  -
#
#363484  llll_ckkw15             ***             2499600     186.12          13.43           1.0     1.0         1.0         13.43                   -
#363485  llll_ckkw30             ***             2498000     200.59          12.448          1.0     1.0004      1.0         12.4529792              -


### ttW
410066    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np0_reco    ttW_reco   -          3.209      -           -      -      -       -            -
410067    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np1_reco    ttW_reco   -          3.209      -           -      -      -       -            -
410068    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np2_reco    ttW_reco   -          3.209      -           -      -      -       -            -
410066    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np0_nom     ttW_nom    2000000    11327.59    0.17656    1.0    1.0    1.32    0.2330592    +++
410067    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np1_nom     ttW_nom    2000000    14222.73    0.14062    1.0    1.0    1.32    0.1856184    +++
410068    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np2_nom     ttW_nom    1000000    7309.94     0.1368     1.0    1.0    1.32    0.180576     +++
410144    Sherpa_NNPDF30NNLO_ttW_nom                         ttW_Sherpa  5000000    8661.16     0.57729    1.0    1.0    1.12    0.6465648    -

410196    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np0_scaleUp    ttW_scaleUp     2000000    14058.77   0.14226    1.0    1.0    1.7088    0.243093888    -
410197    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np0_scaleDn    ttW_scaleDn     2000000    8734.77    0.22897    1.0    1.0    0.9546    0.218574762    -
410198    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np1_scaleUp    ttW_scaleUp     2000000    18266.51   0.10949    1.0    1.0    1.7088    0.187096512    -
410199    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np1_scaleDn    ttW_scaleDn     2000000    10548.52   0.1896     1.0    1.0    0.9546    0.18099216     -
410200    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np2_scaleUp    ttW_scaleUp     1000000    10106.52   0.098946   1.0    1.0    1.7088    0.169078925    -
410201    MadGraphPythia8EvtGen_A14NNPDF23LO_ttW_Np2_scaleDn    ttW_scaleDn     1000000    4780.34    0.20919    1.0    1.0    0.9546    0.199692774    -


### ttZ
410111    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np0_reco        ttZ_reco      -          3.209       -           -      -      -       -              -
410112    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np1_reco        ttZ_reco      -          3.209       -           -      -      -       -              -
410113    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np0_reco      ttZ_reco      -          3.209       -           -      -      -       -              -
410114    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np1_reco      ttZ_reco      -          3.209       -           -      -      -       -              -
410115    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np0_reco    ttZ_reco      -          3.209       -           -      -      -       -              -
410116    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np1_reco    ttZ_reco      -          3.209       -           -      -      -       -              -

410111    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np0_nom         ttZ_nom       300000     34030.97    0.0096235    1.0    1.0    1.51    0.013311405    +++
410112    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np1_nom         ttZ_nom       300000     20862.31    0.017344     1.0    1.0    1.51    0.0217138      +++
410113    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np0_nom       ttZ_nom       300000     33928.21    0.0096462    1.0    1.0    1.51    0.013351722    +++
410114    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np1_nom       ttZ_nom       300000     20869.57    0.017361     1.0    1.0    1.51    0.02170625     +++
410115    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np0_nom     ttZ_nom       300000     33278.61    0.0098874    1.0    1.0    1.51    0.013612348    +++
410116    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np1_nom     ttZ_nom       300000     20497.4     0.017790     1.0    1.0    1.51    0.02210036     +++
410142    Sherpa_NNPDF30NNLO_ttll_mll5_nom                        ttZ_Sherpa    1800000    15916.53    0.11309      1.0    1.0    1.09    0.1232681      -

410202    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np0_scaleUp        ttZ_scaleUp    300000    44917.58    0.0066789   1.0    1.1636195358023624     1.89    0.012623121     -
410203    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np0_scaleDn        ttZ_scaleDn    300000    19091.26    0.015714    1.0    1.1636220296307676     0.816   0.012822624     -
410204    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np1_scaleUp        ttZ_scaleUp    300000    25344.26    0.011837    1.0    1.1636195358023624     1.89    0.02237193      -
410205    MadGraphPythia8EvtGen_A14NNPDF23LO_ttee_Np1_scaleDn        ttZ_scaleDn    300000    11040.78    0.027172    1.0    1.1636220296307676     0.816   0.022172352     -
410206    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np0_scaleUp      ttZ_scaleUp    300000    44887.33    0.0066834   1.0    1.1649236034412902     1.89    0.012631626     -
410207    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np0_scaleDn      ttZ_scaleDn    300000    19076.69    0.015726    1.0    1.1648189913420213     0.816   0.012832416     -
410208    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np1_scaleUp      ttZ_scaleUp    300000    25339.98    0.011839    1.0    1.1649236034412902     1.89    0.02237571      -
410209    MadGraphPythia8EvtGen_A14NNPDF23LO_ttmumu_Np1_scaleDn      ttZ_scaleDn    300000    11037.93    0.027179    1.0    1.1648189913420213     0.816   0.022178064     -
410210    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np0_scaleUp    ttZ_scaleUp    300000    44115.7     0.0068003   1.0    1.1710772387914474     1.89    0.012852567     -
410211    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np0_scaleDn    ttZ_scaleDn    300000    18417.34    0.016289    1.0    1.1571270469689843     0.816   0.013291824     -
410212    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np1_scaleUp    ttZ_scaleUp    300000    24830.33    0.012082    1.0    1.1710772387914474     1.89    0.02283498      -
410213    MadGraphPythia8EvtGen_A14NNPDF23LO_tttautau_Np1_scaleDn    ttZ_scaleDn    300000    10724.63    0.027973    1.0    1.1571270469689843     0.816   0.022825968     -

